SYMBOL,SERIES,LAST_TRADE_DATE
FACT,EQ,2024-07-05
FAGBEARING,EQ,2017-07-31
FAIRCHEM,EQ,2020-10-13
FAIRCHEMOR,EQ,2024-07-05
FARMAXIND,EQ,2017-03-06
FAZE3Q,EQ,2024-07-05
FCEL,EQ,2016-10-24
FCL,EQ,2024-07-05
FCONSUMER,EQ,2024-05-15
FCSSOFT,EQ,2024-07-05
FDC,EQ,2024-07-05
FEDDERELEC,EQ,2018-09-24
FEDDERLOYD,EQ,2017-06-12
FEDERALBNK,EQ,2024-07-05
FEDFINA,EQ,2024-07-05
FEL,EQ,2023-01-20
FELDVR,EQ,2023-02-21
FIBERWEB,EQ,2024-07-05
FIEMIND,EQ,2024-07-05
FILATEX,EQ,2024-07-05
FILATFASH,EQ,2024-07-05
FINANTECH,EQ,2017-01-18
FINCABLES,EQ,2024-07-05
FINEORG,EQ,2024-07-05
